bar_code,EPA_Reg_ID,product_name,sds,Active Ingredient(s),EPA Registered Product Name,Company,Follow the disinfection directions and preparation for the following virus,Contact Time (in minutes),Formulation Type,Surface Types for Use,Use Site,Emerging Viral Pathogen Claim?,Date Added to List N
019200773560,777-114,Lysol Disinfecting Wipes - All Scents,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200777025,777-66,Lysol Brand II Kills 99.9% of Viruses & Bacteria All Purpose Cleaner Complete Clean,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5d4da925ad7e7b0018864565/sds20190809-24-x2kxnj.pdf,Quaternary ammonium,Lysol® Brand All Purpose Cleaner,Reckitt Benckiser,Human coronavirus,2,RTU,Hard nonporous,Healthcare; Institutional; Residential,No,3/13/2020
019200779258,777-114,LYSOL Disinfecting Wipes,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200779302,777-66,LYSOL All Purpose Cleaner - Trigger (Reckitt Benckiser),https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5ccca0b23579100015c069f6/sds20190503-21-1yt3vt5.pdf,Quaternary ammonium,Lysol® Brand All Purpose Cleaner,Reckitt Benckiser,Human coronavirus,2,RTU,Hard nonporous,Healthcare; Institutional; Residential,No,3/13/2020
019200784931,777-114,Lysol Disinfecting Wipes - All Scents,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200788502,777-114,Lysol Disinfecting Wipes - All Scents,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200788885,777-114,Lysol Disinfecting Wipes - All Scents,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200789134,777-66,Professional Lysol Brand Kills 99.9% of Viruses and Bacteria Disinfectant Kitchen Cleaner Fresh Citrus Scent,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc3734984929c001b998c17/sds20190426-27-1tr3137.pdf,Quaternary ammonium,Lysol® Brand All Purpose Cleaner,Reckitt Benckiser,Human coronavirus,2,RTU,Hard nonporous,Healthcare; Institutional; Residential,No,3/13/2020
019200789424,777-114,Lysol Disinfecting Wipes - All Scents,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200795562,777-91,Lysol Kitchen Pro Antibacterial Cleaner 22oz,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5d116457c9b535001a25c9e8/sds20190625-26-asdb6g.pdf,Quaternary ammonium,Lysol® Kitchen Pro Antibacterial Cleaner,Reckitt Benckiser,Human coronavirus,2,RTU,Hard nonporous,Healthcare; Institutional; Residential,No,3/13/2020
019200795722,777-114,Lysol Disinfecting Wipes - All Scents,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200795739,777-114,Lysol Disinfecting Wipes - All Scents,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200796903,777-66,Lysol Brand II Kills 99.9% of Viruses & Bacteria  All Purpose Cleaner Complete Clean,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5d4da925ad7e7b0018864565/sds20190809-24-x2kxnj.pdf,Quaternary ammonium,Lysol® Brand All Purpose Cleaner,Reckitt Benckiser,Human coronavirus,2,RTU,Hard nonporous,Healthcare; Institutional; Residential,No,3/13/2020
019200796989,777-114,Lysol Disinfecting Wipes - All Scents,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200797085,777-114,Lysol Disinfecting Wipes - All Scents,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200797252,777-114,Lysol Disinfecting Wipes 3/110 CT ,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
